
-------------------------------------
(0, 1)
Recomb: 0p/0s + 0p/1s | 0c/2c2a, Avg Cost: 0.00, Overall Prob: 87.50%
Recomb: 0p/0s + 0p/1s | 0c/2c1a, Avg Cost: 0.00, Overall Prob: 82.50%
Recomb: 0p/0s + 0p/1s | 0c/1c2a, Avg Cost: 0.00, Overall Prob: 75.00%
Recomb: 0p/0s + 0p/1s | 2c/0c2a, Avg Cost: 0.00, Overall Prob: 65.50%
Recomb: 0p/0s + 0p/1s | 0c/2c0a, Avg Cost: 0.00, Overall Prob: 62.00%
Recomb: 0p/0s + 0p/1s | 1c/1c2a, Avg Cost: 0.00, Overall Prob: 59.50%
Recomb: 0p/0s + 0p/1s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 59.00%
Recomb: 0p/0s + 0p/1s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 58.25%
Recomb: 0p/0s + 0p/1s | 0c/1c1a, Avg Cost: 0.00, Overall Prob: 54.25%
Recomb: 0p/0s + 0p/1s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 52.75%
Recomb: 0p/0s + 0p/1s | 0c/0c2a, Avg Cost: 0.00, Overall Prob: 46.50%
Recomb: 0p/0s + 0p/1s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 46.00%
Recomb: 0p/0s + 0p/1s | 1c/0c2a, Avg Cost: 0.00, Overall Prob: 45.00%
Recomb: 0p/0s + 0p/1s | 1c/0c1a, Avg Cost: 0.00, Overall Prob: 37.75%
Recomb: 0p/0s + 0p/1s | 1c/0c0a, Avg Cost: 0.00, Overall Prob: 34.81%
Recomb: 0p/0s + 0p/1s | 0c/1c0a, Avg Cost: 0.00, Overall Prob: 33.00%
Recomb: 0p/0s + 0p/1s | 0c/0c1a, Avg Cost: 0.00, Overall Prob: 24.75%

-------------------------------------
(1, 0)
Recomb: 0p/0s + 1p/0s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 66.50%
Recomb: 0p/0s + 1p/0s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 62.00%
Recomb: 0p/0s + 1p/0s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 60.50%
Recomb: 0p/0s + 1p/0s | 0c/1c1a, Avg Cost: 0.00, Overall Prob: 59.00%
Recomb: 0p/0s + 1p/0s | 0c/2c0a, Avg Cost: 0.00, Overall Prob: 59.00%
Recomb: 0p/0s + 1p/0s | 0c/2c1a, Avg Cost: 0.00, Overall Prob: 59.00%
Recomb: 0p/0s + 1p/0s | 1c/0c1a, Avg Cost: 0.00, Overall Prob: 46.00%
Recomb: 0p/0s + 1p/0s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 46.00%
Recomb: 0p/0s + 1p/0s | 0c/0c1a, Avg Cost: 0.00, Overall Prob: 34.81%
Recomb: 0p/0s + 1p/0s | 0c/1c0a, Avg Cost: 0.00, Overall Prob: 34.81%
Recomb: 0p/0s + 1p/0s | 1c/0c0a, Avg Cost: 0.00, Overall Prob: 33.00%

-------------------------------------
(0, 2)
Recomb: 0p/1s + 0p/1s | 0c/2c2a, Avg Cost: 0.00, Overall Prob: 60.00%
Recomb: 0p/1s + 0p/1s | 0c/2c1a, Avg Cost: 0.00, Overall Prob: 50.67%
Recomb: 0p/1s + 0p/1s | 2c/0c2a, Avg Cost: 0.00, Overall Prob: 50.17%
Recomb: 0p/1s + 0p/1s | 1c/1c2a, Avg Cost: 0.00, Overall Prob: 45.33%
Recomb: 0p/1s + 0p/1s | 0c/1c2a, Avg Cost: 0.00, Overall Prob: 44.33%
Recomb: 0p/1s + 0p/1s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 36.88%
Recomb: 0p/1s + 0p/1s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 33.00%
Recomb: 0p/1s + 0p/1s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 32.67%
Recomb: 0p/1s + 0p/1s | 1c/0c2a, Avg Cost: 0.00, Overall Prob: 31.72%
Recomb: 0p/1s + 0p/1s | 0c/2c0a, Avg Cost: 0.00, Overall Prob: 31.00%
Recomb: 0p/1s + 0p/1s | 0c/1c1a, Avg Cost: 0.00, Overall Prob: 25.83%
Recomb: 0p/1s + 0p/1s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 23.29%
Recomb: 0p/1s + 0p/1s | 0c/0c2a, Avg Cost: 0.00, Overall Prob: 20.67%
Recomb: 0p/1s + 0p/1s | 1c/0c1a, Avg Cost: 0.00, Overall Prob: 19.96%
Recomb: 0p/1s + 0p/1s | 1c/0c0a, Avg Cost: 0.00, Overall Prob: 19.47%
Recomb: 0p/1s + 0p/1s | 0c/1c0a, Avg Cost: 0.00, Overall Prob: 10.00%
Recomb: 0p/1s + 0p/1s | 0c/0c1a, Avg Cost: 0.00, Overall Prob: 6.67%

-------------------------------------
(1, 1)
Recomb: 0p/1s + 1p/0s | 0c/2c2a, Avg Cost: 0.00, Overall Prob: 51.62%
Recomb: 0p/1s + 1p/0s | 0c/2c1a, Avg Cost: 0.00, Overall Prob: 48.68%
Recomb: 0p/1s + 1p/0s | 1c/1c2a, Avg Cost: 0.00, Overall Prob: 46.50%
Recomb: 0p/1s + 1p/0s | 2c/0c2a, Avg Cost: 0.00, Overall Prob: 46.50%
Recomb: 0p/1s + 1p/0s | 0c/1c2a, Avg Cost: 0.00, Overall Prob: 44.25%
Recomb: 0p/1s + 1p/0s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 39.75%
Recomb: 0p/1s + 1p/0s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 39.25%
Recomb: 0p/1s + 1p/0s | 0c/2c0a, Avg Cost: 0.00, Overall Prob: 36.58%
Recomb: 0p/1s + 1p/0s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 36.58%
