
0p/1s
-----------------------------------
1c / 4c 0a, reusable: 100.00%, success: 100.00%
1c / 5c 0a, reusable: 100.00%, success: 100.00%
2c / 4c 0a, reusable: 100.00%, success: 100.00%
1c / 3c 0a, reusable: 100.00%, success:  95.00%
1c / 4c 1a, reusable: 100.00%, success:  95.00%
2c / 3c 0a, reusable: 100.00%, success:  95.00%
2c / 4c 1a, reusable: 100.00%, success:  95.00%
3c / 3c 0a, reusable: 100.00%, success:  95.00%
1c / 3c 1a, reusable: 100.00%, success:  93.75%
2c / 3c 1a, reusable: 100.00%, success:  93.75%
3c / 3c 1a, reusable: 100.00%, success:  93.75%
1c / 2c 1a, reusable:  96.67%, success:  87.50%
2c / 2c 1a, reusable:  96.67%, success:  87.50%
3c / 2c 1a, reusable:  96.67%, success:  87.50%
4c / 2c 1a, reusable:  96.67%, success:  87.50%
1c / 2c 0a, reusable: 100.00%, success:  81.00%
2c / 2c 0a, reusable: 100.00%, success:  81.00%
3c / 2c 0a, reusable: 100.00%, success:  81.00%
4c / 2c 0a, reusable: 100.00%, success:  81.00%
1c / 1c 1a, reusable:  90.50%, success:  73.25%
2c / 1c 1a, reusable:  90.50%, success:  73.25%
3c / 1c 1a, reusable:  90.50%, success:  73.25%
4c / 1c 1a, reusable:  90.50%, success:  73.25%
1c / 1c 0a, reusable: 100.00%, success:  66.50%
2c / 1c 0a, reusable: 100.00%, success:  66.50%
3c / 1c 0a, reusable: 100.00%, success:  66.50%
4c / 1c 0a, reusable: 100.00%, success:  66.50%
1c / 0c 0a, reusable: 100.00%, success:  59.00%
2c / 0c 0a, reusable: 100.00%, success:  59.00%
3c / 0c 0a, reusable: 100.00%, success:  59.00%
4c / 0c 0a, reusable: 100.00%, success:  59.00%
1c / 0c 1a, reusable: 100.00%, success:  58.25%
2c / 0c 1a, reusable: 100.00%, success:  58.25%
3c / 0c 1a, reusable: 100.00%, success:  58.25%
4c / 0c 1a, reusable: 100.00%, success:  58.25%
0c / 4c 0a, reusable:  50.00%, success:  50.00%
0c / 5c 0a, reusable:  50.00%, success:  50.00%
0c / 4c 1a, reusable:  50.00%, success:  45.00%
0c / 3c 0a, reusable:  50.00%, success:  45.00%
0c / 3c 1a, reusable:  50.00%, success:  43.75%
0c / 2c 1a, reusable:  46.67%, success:  37.50%
0c / 2c 0a, reusable:  50.00%, success:  31.00%
0c / 0c 0a, reusable:  50.00%, success:  29.50%
0c / 1c 1a, reusable:  40.50%, success:  23.25%
0c / 1c 0a, reusable:  50.00%, success:  16.50%
0c / 0c 1a, reusable:  50.00%, success:   8.25%

0p/2s
-----------------------------------
1c / 4c 0a, reusable: 100.00%, success:  86.00%
2c / 4c 0a, reusable: 100.00%, success:  86.00%
1c / 3c 1a, reusable:  83.25%, success:  80.00%
2c / 3c 1a, reusable:  83.25%, success:  80.00%
3c / 3c 1a, reusable:  83.25%, success:  80.00%
1c / 3c 0a, reusable: 100.00%, success:  78.50%
2c / 3c 0a, reusable: 100.00%, success:  78.50%
3c / 3c 0a, reusable: 100.00%, success:  78.50%
1c / 2c 1a, reusable:  77.33%, success:  72.17%
2c / 2c 1a, reusable:  77.33%, success:  72.17%
3c / 2c 1a, reusable:  77.33%, success:  72.17%
4c / 2c 1a, reusable:  77.33%, success:  72.17%
1c / 2c 0a, reusable:  95.00%, success:  60.50%
2c / 2c 0a, reusable:  95.00%, success:  60.50%
3c / 2c 0a, reusable:  95.00%, success:  60.50%
4c / 2c 0a, reusable:  95.00%, success:  60.50%
1c / 1c 1a, reusable:  69.00%, success:  55.33%
2c / 1c 1a, reusable:  69.00%, success:  55.33%
3c / 1c 1a, reusable:  69.00%, success:  55.33%
4c / 1c 1a, reusable:  69.00%, success:  55.33%
0c / 4c 0a, reusable:  50.00%, success:  36.00%
1c / 1c 0a, reusable:  81.00%, success:  36.00%
2c / 1c 0a, reusable:  81.00%, success:  36.00%
3c / 1c 0a, reusable:  81.00%, success:  36.00%
4c / 1c 0a, reusable:  81.00%, success:  36.00%
1c / 0c 0a, reusable: 100.00%, success:  33.00%
2c / 0c 0a, reusable: 100.00%, success:  33.00%
3c / 0c 0a, reusable: 100.00%, success:  33.00%
4c / 0c 0a, reusable: 100.00%, success:  33.00%
1c / 0c 1a, reusable:  65.50%, success:  32.67%
2c / 0c 1a, reusable:  65.50%, success:  32.67%
3c / 0c 1a, reusable:  65.50%, success:  32.67%
4c / 0c 1a, reusable:  65.50%, success:  32.67%
0c / 3c 1a, reusable:  33.25%, success:  30.00%
0c / 3c 0a, reusable:  50.00%, success:  28.50%
0c / 2c 1a, reusable:  27.33%, success:  22.17%
0c / 0c 0a, reusable:  50.00%, success:  16.50%
0c / 2c 0a, reusable:  45.00%, success:  15.50%
0c / 1c 1a, reusable:  19.00%, success:  10.33%
0c / 1c 0a, reusable:  31.00%, success:   5.00%
0c / 0c 1a, reusable:  15.50%, success:   1.67%

0p/3s
-----------------------------------
1c / 2c 1a, reusable:  50.00%, success:  36.00%
1c / 3c 0a, reusable:  50.00%, success:  36.00%
2c / 2c 1a, reusable:  50.00%, success:  36.00%
2c / 3c 0a, reusable:  50.00%, success:  36.00%
3c / 2c 1a, reusable:  50.00%, success:  36.00%
3c / 3c 0a, reusable:  50.00%, success:  36.00%
4c / 2c 1a, reusable:  50.00%, success:  36.00%
1c / 1c 1a, reusable:  50.00%, success:  28.50%
1c / 2c 0a, reusable:  50.00%, success:  28.50%
2c / 1c 1a, reusable:  50.00%, success:  28.50%
2c / 2c 0a, reusable:  50.00%, success:  28.50%
3c / 1c 1a, reusable:  50.00%, success:  28.50%
3c / 2c 0a, reusable:  50.00%, success:  28.50%
4c / 1c 1a, reusable:  50.00%, success:  28.50%
4c / 2c 0a, reusable:  50.00%, success:  28.50%
1c / 0c 1a, reusable:  45.00%, success:  15.50%
1c / 1c 0a, reusable:  45.00%, success:  15.50%
2c / 0c 1a, reusable:  45.00%, success:  15.50%
2c / 1c 0a, reusable:  45.00%, success:  15.50%
3c / 0c 1a, reusable:  45.00%, success:  15.50%
3c / 1c 0a, reusable:  45.00%, success:  15.50%
4c / 0c 1a, reusable:  45.00%, success:  15.50%
4c / 1c 0a, reusable:  45.00%, success:  15.50%
1c / 0c 0a, reusable:  62.00%, success:  10.00%
2c / 0c 0a, reusable:  62.00%, success:  10.00%
3c / 0c 0a, reusable:  62.00%, success:  10.00%
4c / 0c 0a, reusable:  62.00%, success:  10.00%
0c / 0c 0a, reusable:  31.00%, success:   5.00%

1p/0s
-----------------------------------
4c / 1c 0a, reusable: 100.00%, success: 100.00%
4c / 1c 1a, reusable: 100.00%, success: 100.00%
4c / 2c 0a, reusable: 100.00%, success: 100.00%
4c / 2c 1a, reusable: 100.00%, success: 100.00%
3c / 1c 0a, reusable: 100.00%, success:  95.00%
3c / 1c 1a, reusable: 100.00%, success:  95.00%
3c / 2c 0a, reusable: 100.00%, success:  95.00%
3c / 2c 1a, reusable: 100.00%, success:  95.00%
3c / 3c 0a, reusable: 100.00%, success:  95.00%
3c / 3c 1a, reusable: 100.00%, success:  95.00%
2c / 1c 0a, reusable: 100.00%, success:  81.00%
2c / 1c 1a, reusable: 100.00%, success:  81.00%
2c / 2c 0a, reusable: 100.00%, success:  81.00%
2c / 2c 1a, reusable: 100.00%, success:  81.00%
2c / 3c 0a, reusable: 100.00%, success:  81.00%
2c / 3c 1a, reusable: 100.00%, success:  81.00%
2c / 4c 0a, reusable: 100.00%, success:  81.00%
2c / 4c 1a, reusable: 100.00%, success:  81.00%
1c / 1c 0a, reusable: 100.00%, success:  66.50%
1c / 1c 1a, reusable: 100.00%, success:  66.50%
1c / 2c 0a, reusable: 100.00%, success:  66.50%
1c / 2c 1a, reusable: 100.00%, success:  66.50%
1c / 3c 0a, reusable: 100.00%, success:  66.50%
1c / 3c 1a, reusable: 100.00%, success:  66.50%
1c / 4c 0a, reusable: 100.00%, success:  66.50%
1c / 4c 1a, reusable: 100.00%, success:  66.50%
1c / 5c 0a, reusable: 100.00%, success:  66.50%
1c / 5c 1a, reusable: 100.00%, success:  66.50%
0c / 1c 0a, reusable: 100.00%, success:  59.00%
0c / 1c 1a, reusable: 100.00%, success:  59.00%
0c / 2c 0a, reusable: 100.00%, success:  59.00%
0c / 2c 1a, reusable: 100.00%, success:  59.00%
0c / 3c 0a, reusable: 100.00%, success:  59.00%
0c / 3c 1a, reusable: 100.00%, success:  59.00%
0c / 4c 0a, reusable: 100.00%, success:  59.00%
0c / 4c 1a, reusable: 100.00%, success:  59.00%
0c / 5c 0a, reusable: 100.00%, success:  59.00%
0c / 5c 1a, reusable: 100.00%, success:  59.00%
0c / 6c 0a, reusable: 100.00%, success:  59.00%
4c / 0c 0a, reusable:  50.00%, success:  50.00%
4c / 0c 1a, reusable:  50.00%, success:  50.00%
3c / 0c 0a, reusable:  50.00%, success:  45.00%
3c / 0c 1a, reusable:  50.00%, success:  45.00%
2c / 0c 0a, reusable:  50.00%, success:  31.00%
2c / 0c 1a, reusable:  50.00%, success:  31.00%
0c / 0c 0a, reusable:  50.00%, success:  29.50%
0c / 0c 1a, reusable:  50.00%, success:  29.50%
1c / 0c 0a, reusable:  50.00%, success:  16.50%
1c / 0c 1a, reusable:  50.00%, success:  16.50%

1p/1s
-----------------------------------
3c / 3c 0a, reusable: 100.00%, success:  90.00%
3c / 3c 1a, reusable:  93.75%, success:  86.67%
4c / 2c 1a, reusable:  88.33%, success:  85.00%
2c / 4c 0a, reusable: 100.00%, success:  81.00%
4c / 2c 0a, reusable: 100.00%, success:  81.00%
3c / 2c 1a, reusable:  88.33%, success:  80.00%
2c / 3c 0a, reusable: 100.00%, success:  76.00%
3c / 2c 0a, reusable: 100.00%, success:  76.00%
2c / 4c 1a, reusable:  95.00%, success:  74.33%
2c / 3c 1a, reusable:  93.75%, success:  72.67%
4c / 1c 1a, reusable:  78.00%, success:  70.67%
1c / 4c 0a, reusable: 100.00%, success:  66.50%
1c / 5c 0a, reusable: 100.00%, success:  66.50%
4c / 1c 0a, reusable: 100.00%, success:  66.50%
2c / 2c 1a, reusable:  88.33%, success:  66.00%
3c / 1c 1a, reusable:  78.00%, success:  65.67%
2c / 2c 0a, reusable: 100.00%, success:  62.00%
1c / 3c 0a, reusable: 100.00%, success:  61.50%
3c / 1c 0a, reusable: 100.00%, success:  61.50%
1c / 4c 1a, reusable:  95.00%, success:  59.83%
1c / 3c 1a, reusable:  93.75%, success:  58.17%
2c / 1c 1a, reusable:  78.00%, success:  51.67%
1c / 2c 1a, reusable:  88.33%, success:  51.50%
4c / 0c 1a, reusable:  50.00%, success:  50.00%
1c / 2c 0a, reusable: 100.00%, success:  47.50%
2c / 1c 0a, reusable: 100.00%, success:  47.50%
3c / 0c 1a, reusable:  50.00%, success:  45.00%
1c / 1c 1a, reusable:  78.00%, success:  37.17%
1c / 1c 0a, reusable: 100.00%, success:  33.00%
2c / 0c 1a, reusable:  50.00%, success:  31.00%
0c / 4c 0a, reusable:  50.00%, success:  29.50%
0c / 5c 0a, reusable:  50.00%, success:  29.50%
4c / 0c 0a, reusable:  50.00%, success:  29.50%
0c / 3c 0a, reusable:  50.00%, success:  26.55%
3c / 0c 0a, reusable:  50.00%, success:  26.55%
0c / 4c 1a, reusable:  45.00%, success:  25.57%
0c / 3c 1a, reusable:  43.75%, success:  24.58%
0c / 2c 1a, reusable:  38.33%, success:  20.65%
0c / 2c 0a, reusable:  50.00%, success:  18.29%
2c / 0c 0a, reusable:  50.00%, success:  18.29%
1c / 0c 1a, reusable:  50.00%, success:  16.50%
0c / 1c 1a, reusable:  28.00%, success:  12.19%
0c / 1c 0a, reusable:  50.00%, success:   9.74%
1c / 0c 0a, reusable:  50.00%, success:   9.74%

1p/2s
-----------------------------------
3c / 3c 1a, reusable:  81.17%, success:  74.25%
3c / 3c 0a, reusable: 100.00%, success:  73.50%
4c / 2c 1a, reusable:  74.56%, success:  71.38%
2c / 4c 0a, reusable: 100.00%, success:  67.00%
3c / 2c 1a, reusable:  74.56%, success:  66.38%
4c / 2c 0a, reusable:  95.00%, success:  60.50%
2c / 3c 1a, reusable:  81.17%, success:  60.25%
2c / 3c 0a, reusable: 100.00%, success:  59.50%
3c / 2c 0a, reusable:  95.00%, success:  56.00%
4c / 1c 1a, reusable:  65.25%, success:  54.69%
1c / 4c 0a, reusable: 100.00%, success:  52.50%
2c / 2c 1a, reusable:  74.56%, success:  52.37%
3c / 1c 1a, reusable:  65.25%, success:  50.19%
1c / 3c 1a, reusable:  81.17%, success:  45.75%
1c / 3c 0a, reusable: 100.00%, success:  45.00%
2c / 2c 0a, reusable:  95.00%, success:  43.40%
