
-------------------------------------
0p/1s
Recomb: 0p/0s + 0p/1s | 0c/4c0a, Prob: 100.00%
Recomb: 0p/0s + 0p/1s | 0c/5c0a, Prob: 100.00%
Recomb: 0p/0s + 0p/1s | 2c/4c0a, Prob: 100.00%
Recomb: 0p/0s + 0p/1s | 0c/4c1a, Prob: 95.00%
Recomb: 0p/0s + 0p/1s | 2c/3c0a, Prob: 95.00%
Recomb: 0p/0s + 0p/1s | 2c/4c1a, Prob: 95.00%
Recomb: 0p/0s + 0p/1s | 3c/3c0a, Prob: 95.00%
Recomb: 0p/0s + 0p/1s | 0c/3c1a, Prob: 93.75%
Recomb: 0p/0s + 0p/1s | 2c/3c1a, Prob: 93.75%
Recomb: 0p/0s + 0p/1s | 3c/3c1a, Prob: 93.75%
Recomb: 0p/0s + 0p/1s | 0c/3c0a, Prob: 90.00%
Recomb: 0p/0s + 0p/1s | 0c/3c2a, Prob: 90.00%
Recomb: 0p/0s + 0p/1s | 2c/3c2a, Prob: 90.00%
Recomb: 0p/0s + 0p/1s | 3c/3c2a, Prob: 90.00%
Recomb: 0p/0s + 0p/1s | 0c/2c2a, Prob: 87.50%
Recomb: 0p/0s + 0p/1s | 2c/2c1a, Prob: 87.50%
Recomb: 0p/0s + 0p/1s | 2c/2c2a, Prob: 87.50%
Recomb: 0p/0s + 0p/1s | 3c/2c1a, Prob: 87.50%
Recomb: 0p/0s + 0p/1s | 3c/2c2a, Prob: 87.50%
Recomb: 0p/0s + 0p/1s | 4c/2c1a, Prob: 87.50%
Recomb: 0p/0s + 0p/1s | 0c/2c1a, Prob: 82.50%
Recomb: 0p/0s + 0p/1s | 2c/2c0a, Prob: 81.00%
Recomb: 0p/0s + 0p/1s | 3c/2c0a, Prob: 81.00%
Recomb: 0p/0s + 0p/1s | 4c/2c0a, Prob: 81.00%
Recomb: 0p/0s + 0p/1s | 2c/1c2a, Prob: 80.00%
Recomb: 0p/0s + 0p/1s | 3c/1c2a, Prob: 80.00%
Recomb: 0p/0s + 0p/1s | 1c/4c0a, Prob: 79.50%
Recomb: 0p/0s + 0p/1s | 1c/5c0a, Prob: 79.50%
Recomb: 0p/0s + 0p/1s | 0c/1c2a, Prob: 75.00%
Recomb: 0p/0s + 0p/1s | 1c/3c0a, Prob: 74.50%
Recomb: 0p/0s + 0p/1s | 1c/4c1a, Prob: 74.50%
Recomb: 0p/0s + 0p/1s | 1c/3c1a, Prob: 73.25%
Recomb: 0p/0s + 0p/1s | 2c/1c1a, Prob: 73.25%
Recomb: 0p/0s + 0p/1s | 3c/1c1a, Prob: 73.25%
Recomb: 0p/0s + 0p/1s | 4c/1c1a, Prob: 73.25%
Recomb: 0p/0s + 0p/1s | 1c/3c2a, Prob: 69.50%
Recomb: 0p/0s + 0p/1s | 1c/2c1a, Prob: 67.00%
Recomb: 0p/0s + 0p/1s | 1c/2c2a, Prob: 67.00%
Recomb: 0p/0s + 0p/1s | 2c/1c0a, Prob: 66.50%
Recomb: 0p/0s + 0p/1s | 3c/1c0a, Prob: 66.50%
Recomb: 0p/0s + 0p/1s | 4c/1c0a, Prob: 66.50%
Recomb: 0p/0s + 0p/1s | 2c/0c2a, Prob: 65.50%
Recomb: 0p/0s + 0p/1s | 3c/0c2a, Prob: 65.50%
Recomb: 0p/0s + 0p/1s | 0c/2c0a, Prob: 62.00%
Recomb: 0p/0s + 0p/1s | 1c/2c0a, Prob: 60.50%
Recomb: 0p/0s + 0p/1s | 1c/1c2a, Prob: 59.50%
Recomb: 0p/0s + 0p/1s | 2c/0c0a, Prob: 59.00%
Recomb: 0p/0s + 0p/1s | 3c/0c0a, Prob: 59.00%
Recomb: 0p/0s + 0p/1s | 4c/0c0a, Prob: 59.00%
Recomb: 0p/0s + 0p/1s | 2c/0c1a, Prob: 58.25%
Recomb: 0p/0s + 0p/1s | 3c/0c1a, Prob: 58.25%
Recomb: 0p/0s + 0p/1s | 4c/0c1a, Prob: 58.25%
Recomb: 0p/0s + 0p/1s | 0c/1c1a, Prob: 54.25%
Recomb: 0p/0s + 0p/1s | 1c/1c1a, Prob: 52.75%
Recomb: 0p/0s + 0p/1s | 0c/0c2a, Prob: 46.50%
Recomb: 0p/0s + 0p/1s | 1c/1c0a, Prob: 46.00%
Recomb: 0p/0s + 0p/1s | 1c/0c2a, Prob: 45.00%
Recomb: 0p/0s + 0p/1s | 1c/0c1a, Prob: 37.75%
Recomb: 0p/0s + 0p/1s | 1c/0c0a, Prob: 34.81%
Recomb: 0p/0s + 0p/1s | 0c/1c0a, Prob: 33.00%
Recomb: 0p/0s + 0p/1s | 0c/0c1a, Prob: 24.75%

-------------------------------------
1p/0s
Recomb: 0p/0s + 1p/0s | 4c/0c0a, Prob: 100.00%
Recomb: 0p/0s + 1p/0s | 4c/0c2a, Prob: 100.00%
Recomb: 0p/0s + 1p/0s | 4c/2c0a, Prob: 100.00%
Recomb: 0p/0s + 1p/0s | 3c/0c2a, Prob: 95.00%
Recomb: 0p/0s + 1p/0s | 3c/2c0a, Prob: 95.00%
Recomb: 0p/0s + 1p/0s | 3c/3c0a, Prob: 95.00%
Recomb: 0p/0s + 1p/0s | 4c/2c1a, Prob: 91.67%
Recomb: 0p/0s + 1p/0s | 3c/0c0a, Prob: 90.00%
Recomb: 0p/0s + 1p/0s | 3c/3c1a, Prob: 88.75%
Recomb: 0p/0s + 1p/0s | 4c/1c1a, Prob: 87.50%
Recomb: 0p/0s + 1p/0s | 4c/2c2a, Prob: 87.50%
Recomb: 0p/0s + 1p/0s | 3c/2c1a, Prob: 86.67%
Recomb: 0p/0s + 1p/0s | 3c/3c2a, Prob: 85.00%
Recomb: 0p/0s + 1p/0s | 4c/1c2a, Prob: 83.33%
Recomb: 0p/0s + 1p/0s | 3c/1c1a, Prob: 82.50%
Recomb: 0p/0s + 1p/0s | 3c/2c2a, Prob: 82.50%
Recomb: 0p/0s + 1p/0s | 2c/0c2a, Prob: 81.00%
Recomb: 0p/0s + 1p/0s | 2c/2c0a, Prob: 81.00%
Recomb: 0p/0s + 1p/0s | 2c/3c0a, Prob: 81.00%
Recomb: 0p/0s + 1p/0s | 2c/4c0a, Prob: 81.00%
Recomb: 0p/0s + 1p/0s | 4c/0c1a, Prob: 79.50%
Recomb: 0p/0s + 1p/0s | 4c/1c0a, Prob: 79.50%
Recomb: 0p/0s + 1p/0s | 3c/1c2a, Prob: 78.33%
Recomb: 0p/0s + 1p/0s | 2c/4c1a, Prob: 76.00%
Recomb: 0p/0s + 1p/0s | 2c/3c1a, Prob: 74.75%
Recomb: 0p/0s + 1p/0s | 3c/0c1a, Prob: 74.50%
Recomb: 0p/0s + 1p/0s | 3c/1c0a, Prob: 74.50%
Recomb: 0p/0s + 1p/0s | 2c/2c1a, Prob: 72.67%
Recomb: 0p/0s + 1p/0s | 2c/4c2a, Prob: 72.67%
Recomb: 0p/0s + 1p/0s | 2c/3c2a, Prob: 71.00%
Recomb: 0p/0s + 1p/0s | 2c/1c1a, Prob: 68.50%
Recomb: 0p/0s + 1p/0s | 2c/2c2a, Prob: 68.50%
Recomb: 0p/0s + 1p/0s | 1c/0c2a, Prob: 66.50%
Recomb: 0p/0s + 1p/0s | 1c/2c0a, Prob: 66.50%
Recomb: 0p/0s + 1p/0s | 1c/3c0a, Prob: 66.50%
Recomb: 0p/0s + 1p/0s | 1c/4c0a, Prob: 66.50%
Recomb: 0p/0s + 1p/0s | 1c/5c0a, Prob: 66.50%
Recomb: 0p/0s + 1p/0s | 2c/1c2a, Prob: 64.33%
Recomb: 0p/0s + 1p/0s | 1c/5c1a, Prob: 62.33%
Recomb: 0p/0s + 1p/0s | 2c/0c0a, Prob: 62.00%
Recomb: 0p/0s + 1p/0s | 1c/4c1a, Prob: 61.50%
Recomb: 0p/0s + 1p/0s | 2c/0c1a, Prob: 60.50%
Recomb: 0p/0s + 1p/0s | 2c/1c0a, Prob: 60.50%
Recomb: 0p/0s + 1p/0s | 1c/3c1a, Prob: 60.25%
Recomb: 0p/0s + 1p/0s | 0c/0c2a, Prob: 59.00%
Recomb: 0p/0s + 1p/0s | 0c/2c0a, Prob: 59.00%
Recomb: 0p/0s + 1p/0s | 0c/3c0a, Prob: 59.00%
Recomb: 0p/0s + 1p/0s | 0c/4c0a, Prob: 59.00%
Recomb: 0p/0s + 1p/0s | 0c/5c0a, Prob: 59.00%
Recomb: 0p/0s + 1p/0s | 0c/6c0a, Prob: 59.00%
